Fecha,Zona,Recibidos,Analizados,Corregidos,Cerrados
2026-05-01,ATLANTICO CENTRO,16,16,15,16
2026-05-01,ATLANTICO NORTE,15,15,14,15
2026-05-02,ATLANTICO CENTRO,362,362,203,362
2026-05-02,ATLANTICO NORTE,383,383,240,383
2026-05-02,ATLANTICO SUR,603,603,428,603
2026-05-03,ATLANTICO CENTRO,41,41,33,41
2026-05-03,ATLANTICO NORTE,19,19,19,19
2026-05-04,ATLANTICO CENTRO,455,455,246,455
2026-05-04,ATLANTICO NORTE,491,491,283,491
2026-05-04,ATLANTICO SUR,817,817,542,817
2026-05-05,ATLANTICO CENTRO,407,407,235,407
2026-05-05,ATLANTICO NORTE,435,435,298,435
2026-05-05,ATLANTICO SUR,859,859,722,859
2026-05-06,ATLANTICO CENTRO,480,480,325,480
2026-05-06,ATLANTICO NORTE,510,510,330,510
2026-05-06,ATLANTICO SUR,789,789,574,789
2026-05-07,ATLANTICO CENTRO,525,525,346,525
2026-05-07,ATLANTICO NORTE,497,497,334,497
2026-05-07,ATLANTICO SUR,760,760,493,760
2026-05-08,ATLANTICO CENTRO,512,512,324,512
2026-05-08,ATLANTICO NORTE,444,444,274,444
2026-05-08,ATLANTICO SUR,914,914,847,914
2026-05-09,ATLANTICO CENTRO,363,363,243,363
2026-05-09,ATLANTICO NORTE,301,301,181,301
2026-05-09,ATLANTICO SUR,699,699,655,699
2026-05-10,ATLANTICO CENTRO,15,15,13,15
2026-05-10,ATLANTICO NORTE,15,15,15,15
2026-05-11,ATLANTICO CENTRO,479,479,293,479
2026-05-11,ATLANTICO NORTE,490,490,316,490
2026-05-11,ATLANTICO SUR,838,838,785,838
2026-05-12,ATLANTICO CENTRO,451,451,309,451
2026-05-12,ATLANTICO NORTE,482,482,299,482
2026-05-12,ATLANTICO SUR,850,850,765,850
2026-05-13,ATLANTICO CENTRO,418,418,246,418
2026-05-13,ATLANTICO NORTE,479,479,324,479
2026-05-13,ATLANTICO SUR,769,769,618,769
2026-05-14,ATLANTICO CENTRO,488,488,312,488
2026-05-14,ATLANTICO NORTE,471,471,350,471
2026-05-14,ATLANTICO SUR,885,885,804,885
2026-05-15,ATLANTICO CENTRO,433,433,279,433
2026-05-15,ATLANTICO NORTE,481,481,343,481
2026-05-15,ATLANTICO SUR,858,858,764,858
2026-05-16,ATLANTICO CENTRO,293,293,181,293
2026-05-16,ATLANTICO NORTE,302,302,237,302
2026-05-16,ATLANTICO SUR,631,631,528,631
2026-05-17,ATLANTICO CENTRO,18,18,18,18
2026-05-17,ATLANTICO NORTE,14,14,14,14
2026-05-18,ATLANTICO CENTRO,16,16,12,16
2026-05-18,ATLANTICO NORTE,19,19,17,19
2026-05-19,ATLANTICO CENTRO,425,425,287,425
2026-05-19,ATLANTICO NORTE,453,453,293,453
2026-05-19,ATLANTICO SUR,872,872,798,872
2026-05-20,ATLANTICO CENTRO,476,476,278,476
2026-05-20,ATLANTICO NORTE,434,434,258,434
2026-05-20,ATLANTICO SUR,873,873,727,873
2026-05-21,ATLANTICO CENTRO,454,454,297,454
2026-05-21,ATLANTICO NORTE,425,425,293,425
2026-05-21,ATLANTICO SUR,881,881,742,881
2026-05-22,ATLANTICO CENTRO,497,497,291,497
2026-05-22,ATLANTICO NORTE,437,437,275,437
2026-05-22,ATLANTICO SUR,915,915,794,915
2026-05-23,ATLANTICO CENTRO,335,335,188,335
2026-05-23,ATLANTICO NORTE,353,353,202,353
2026-05-23,ATLANTICO SUR,659,659,568,659
2026-05-24,ATLANTICO CENTRO,20,20,15,20
2026-05-24,ATLANTICO NORTE,20,20,20,20
2026-05-25,ATLANTICO CENTRO,481,481,258,481
2026-05-25,ATLANTICO NORTE,397,397,233,397
2026-05-25,ATLANTICO SUR,907,907,782,907
2026-05-26,ATLANTICO CENTRO,454,454,231,454
2026-05-26,ATLANTICO NORTE,444,444,229,444
2026-05-26,ATLANTICO SUR,782,782,556,782
2026-05-27,ATLANTICO CENTRO,516,516,312,516
2026-05-27,ATLANTICO NORTE,422,422,263,422
2026-05-27,ATLANTICO SUR,745,745,517,745
2026-05-28,ATLANTICO CENTRO,416,416,248,416
2026-05-28,ATLANTICO NORTE,467,467,238,467
2026-05-28,ATLANTICO SUR,752,752,544,752
2026-06-01,ATLANTICO CENTRO,452,452,278,452
2026-06-01,ATLANTICO NORTE,418,418,243,418
2026-06-01,ATLANTICO SUR,610,610,417,610
2026-06-02,ATLANTICO CENTRO,456,456,328,456
2026-06-02,ATLANTICO NORTE,363,363,209,363
2026-06-02,ATLANTICO SUR,654,654,491,654
2026-06-03,ATLANTICO CENTRO,388,388,246,388
2026-06-03,ATLANTICO NORTE,475,475,303,475
2026-06-03,ATLANTICO SUR,665,665,536,665
2026-06-04,ATLANTICO CENTRO,460,460,318,460
2026-06-04,ATLANTICO NORTE,454,454,317,454
2026-06-04,ATLANTICO SUR,613,613,398,613
2026-06-05,ATLANTICO CENTRO,454,454,306,454
2026-06-05,ATLANTICO NORTE,451,451,294,451
2026-06-05,ATLANTICO SUR,569,569,387,569
2026-06-06,ATLANTICO CENTRO,233,233,107,233
2026-06-06,ATLANTICO NORTE,204,204,124,204
2026-06-06,ATLANTICO SUR,396,396,368,396
2026-06-07,ATLANTICO CENTRO,22,22,22,22
2026-06-07,ATLANTICO NORTE,15,15,15,15
2026-06-08,ATLANTICO CENTRO,22,22,22,22
2026-06-08,ATLANTICO NORTE,14,14,13,14
2026-06-09,ATLANTICO CENTRO,443,443,217,443
2026-06-09,ATLANTICO NORTE,396,396,291,396
2026-06-09,ATLANTICO SUR,681,681,575,681
2026-06-10,ATLANTICO CENTRO,564,564,313,564
2026-06-10,ATLANTICO NORTE,472,472,327,472
2026-06-10,ATLANTICO SUR,699,699,569,699
2026-06-11,ATLANTICO CENTRO,527,527,340,527
2026-06-11,ATLANTICO NORTE,481,481,316,481
2026-06-11,ATLANTICO SUR,738,738,647,738
2026-06-12,ATLANTICO CENTRO,560,560,333,560
2026-06-12,ATLANTICO NORTE,433,433,327,433
2026-06-12,ATLANTICO SUR,683,683,595,683
2026-06-13,ATLANTICO CENTRO,365,365,273,365
2026-06-13,ATLANTICO NORTE,295,295,213,295
2026-06-13,ATLANTICO SUR,435,435,302,435
2026-06-14,ATLANTICO CENTRO,20,20,18,20
2026-06-14,ATLANTICO NORTE,26,26,23,26
2026-06-14,ATLANTICO SUR,14,14,14,14
2026-06-15,ATLANTICO CENTRO,21,21,21,21
2026-06-15,ATLANTICO NORTE,17,17,16,17
2026-06-15,ATLANTICO SUR,15,15,15,15
2026-06-16,ATLANTICO CENTRO,511,511,320,511
2026-06-16,ATLANTICO NORTE,385,385,278,385
2026-06-16,ATLANTICO SUR,660,660,532,660
2026-06-17,ATLANTICO CENTRO,506,506,317,506
2026-06-17,ATLANTICO NORTE,502,502,294,502
2026-06-17,ATLANTICO SUR,646,646,447,646
2026-06-18,ATLANTICO CENTRO,503,503,298,503
2026-06-18,ATLANTICO NORTE,399,399,257,399
2026-06-18,ATLANTICO SUR,681,681,592,681
2026-06-19,ATLANTICO CENTRO,558,558,397,558
2026-06-19,ATLANTICO NORTE,479,479,313,479
2026-06-19,ATLANTICO SUR,669,669,413,669
2026-06-20,ATLANTICO CENTRO,360,360,209,360
2026-06-20,ATLANTICO NORTE,350,350,231,350
2026-06-20,ATLANTICO SUR,502,502,372,502
2026-06-21,ATLANTICO CENTRO,16,16,15,16
2026-06-21,ATLANTICO NORTE,19,19,19,19
2026-06-21,ATLANTICO SUR,18,18,18,18
2026-06-22,ATLANTICO CENTRO,596,596,349,596
2026-06-22,ATLANTICO NORTE,428,428,307,428
2026-06-22,ATLANTICO SUR,640,640,409,640
2026-06-23,ATLANTICO CENTRO,600,600,350,600
2026-06-23,ATLANTICO NORTE,497,497,305,497
2026-06-23,ATLANTICO SUR,690,690,493,690
2026-06-24,ATLANTICO CENTRO,622,622,403,622
2026-06-24,ATLANTICO NORTE,487,487,301,487
2026-06-24,ATLANTICO SUR,667,667,394,667
2026-06-25,ATLANTICO CENTRO,642,642,395,642
2026-06-25,ATLANTICO NORTE,509,509,297,509
2026-06-25,ATLANTICO SUR,620,620,399,620
2026-06-26,ATLANTICO CENTRO,512,512,309,512
2026-06-26,ATLANTICO NORTE,491,491,300,491
2026-06-26,ATLANTICO SUR,599,599,372,599
2026-06-27,ATLANTICO CENTRO,386,386,255,386
2026-06-27,ATLANTICO NORTE,337,337,198,337
2026-06-27,ATLANTICO SUR,437,437,305,437
2026-06-28,ATLANTICO CENTRO,35,35,24,35
2026-06-28,ATLANTICO NORTE,17,17,16,17
2026-06-28,ATLANTICO SUR,14,14,13,14
2026-06-29,ATLANTICO CENTRO,39,39,36,39
2026-06-29,ATLANTICO NORTE,17,17,17,17
2026-06-29,ATLANTICO SUR,11,11,11,11
2026-06-30,ATLANTICO CENTRO,557,557,319,557
2026-06-30,ATLANTICO NORTE,409,409,236,409
2026-07-01,ATLANTICO CENTRO,526,526,329,526
2026-07-01,ATLANTICO NORTE,466,466,301,466
2026-07-01,ATLANTICO SUR,626,626,445,626
2026-07-02,ATLANTICO CENTRO,550,550,350,550
2026-07-02,ATLANTICO NORTE,408,408,267,408
2026-07-02,ATLANTICO SUR,572,572,411,572
2026-07-03,ATLANTICO CENTRO,519,519,319,519
2026-07-03,ATLANTICO NORTE,460,460,329,460
2026-07-03,ATLANTICO SUR,592,592,484,592
2026-07-04,ATLANTICO CENTRO,329,329,221,329
2026-07-04,ATLANTICO NORTE,293,293,191,293
2026-07-04,ATLANTICO SUR,416,416,341,416
2026-07-05,ATLANTICO CENTRO,18,18,16,18
2026-07-05,ATLANTICO NORTE,20,20,19,20
2026-07-05,ATLANTICO SUR,16,16,14,16
2026-07-06,ATLANTICO CENTRO,508,508,340,508
2026-07-06,ATLANTICO NORTE,355,355,242,355
2026-07-06,ATLANTICO SUR,569,569,447,569
2026-07-07,ATLANTICO CENTRO,465,465,279,465
2026-07-07,ATLANTICO NORTE,409,409,284,409
2026-07-07,ATLANTICO SUR,568,568,485,568
2026-07-08,ATLANTICO CENTRO,561,561,338,561
2026-07-08,ATLANTICO NORTE,417,417,285,417
2026-07-08,ATLANTICO SUR,643,643,478,643
2026-07-09,ATLANTICO CENTRO,563,563,350,563
2026-07-09,ATLANTICO NORTE,412,412,306,412
2026-07-09,ATLANTICO SUR,557,557,403,557
2026-07-10,ATLANTICO CENTRO,509,509,333,509
2026-07-10,ATLANTICO NORTE,397,397,237,397
2026-07-10,ATLANTICO SUR,588,588,467,588
2026-07-11,ATLANTICO CENTRO,334,334,204,334
2026-07-11,ATLANTICO NORTE,269,269,195,269
2026-07-11,ATLANTICO SUR,515,515,404,515
2026-07-12,ATLANTICO CENTRO,18,18,18,18
2026-07-12,ATLANTICO NORTE,15,15,13,15
2026-07-12,ATLANTICO SUR,17,17,17,17
2026-07-13,ATLANTICO CENTRO,23,23,18,23
2026-07-13,ATLANTICO NORTE,16,16,15,16
2026-07-13,ATLANTICO SUR,15,15,15,15
2026-07-14,ATLANTICO CENTRO,473,473,304,473
2026-07-14,ATLANTICO NORTE,387,387,279,387
2026-07-14,ATLANTICO SUR,572,572,400,572
2026-07-15,ATLANTICO CENTRO,254,254,140,254
2026-07-15,ATLANTICO NORTE,233,233,104,233
2026-07-15,ATLANTICO SUR,415,415,291,415
